CustomerID,Lookalikes
C0001,"[('C0069', 0.9242661077302959), ('C0026', 0.8224381739269235), ('C0120', 0.817978999092905)]"
C0002,"[('C0031', 0.9220269708357295), ('C0178', 0.882214893816575), ('C0159', 0.8604717663454381)]"
C0003,"[('C0166', 0.8143806479775813), ('C0195', 0.7417272102720419), ('C0133', 0.7330235804351733)]"
C0004,"[('C0065', 0.9446500898729965), ('C0075', 0.9301151032460189), ('C0012', 0.910611752018838)]"
C0005,"[('C0197', 0.9518313362346591), ('C0095', 0.9328600496280292), ('C0007', 0.8981873015922861)]"
C0006,"[('C0196', 0.9071874139770778), ('C0185', 0.9006202810321343), ('C0079', 0.7981254742041877)]"
C0007,"[('C0085', 0.960118356444561), ('C0005', 0.8981873015922861), ('C0140', 0.8921609677985205)]"
C0008,"[('C0093', 0.9101443151733989), ('C0194', 0.8545996877313584), ('C0109', 0.8103383580949158)]"
C0009,"[('C0032', 0.9824826350571058), ('C0033', 0.9783127319852603), ('C0083', 0.964789759471717)]"
C0010,"[('C0030', 0.9173121719114713), ('C0056', 0.9029720193155266), ('C0111', 0.8688084887953986)]"
C0011,"[('C0016', 0.8516818893268786), ('C0153', 0.8256236402714813), ('C0027', 0.8054165019966608)]"
C0012,"[('C0065', 0.955083692604973), ('C0004', 0.910611752018838), ('C0113', 0.8996622358193133)]"
C0013,"[('C0099', 0.9261481085007678), ('C0156', 0.9029979862150581), ('C0141', 0.8891937254682482)]"
C0014,"[('C0128', 0.9898621553423784), ('C0097', 0.983512151105989), ('C0151', 0.9787494754356644)]"
C0015,"[('C0123', 0.9779320970102829), ('C0128', 0.9611669420666791), ('C0095', 0.9506834095085647)]"
C0016,"[('C0107', 0.8892375544873475), ('C0011', 0.8516818893268786), ('C0117', 0.7117440021736844)]"
C0017,"[('C0075', 0.9365064509712255), ('C0004', 0.8946527948538735), ('C0122', 0.8473728943400248)]"
C0018,"[('C0064', 0.8526439226528444), ('C0087', 0.83988482820825), ('C0068', 0.8372757031380048)]"
C0019,"[('C0118', 0.8256729942723137), ('C0174', 0.8125656381420784), ('C0191', 0.80907317272504)]"
C0020,"[('C0140', 0.972767491435172), ('C0078', 0.9254697450234319), ('C0085', 0.9006364138186436)]"
